land_area_acres,soil_type,soil_ph,water_source,irrigation_availability,season,investment_budget,resource_intensity,previous_crop,current_crop,soil_health_score,recommended_crop,match_percentage
1,Loamy,6.9,Borewell,Available,Summer,Medium,Fertilizer Usage,Cotton,Rice,90,Sunflower,98
1,Clay,6.2,Rainfed,Available,Summer,Low,Low Input,Cotton,Cotton,91,Green Gram (Moong),98
7,Sandy,7.4,Canal,Limited,Summer,High,Low Input,Wheat,Rice,67,Green Gram (Moong),98
5,Sandy,6.7,Canal,Available,Kharif,High,High Input,Groundnut,Millet,73,Basmati Rice,98
1,Loamy,6.7,Canal,Available,Rabi,High,High Input,Millet,Rice,96,Mustard,98
1,Sandy,7.0,Rainfed,Limited,Kharif,Medium,High Input,Cotton,Millet,90,Groundnut,97
10,Loamy,6.9,Borewell,Limited,Rabi,High,High Input,Millet,Millet,94,Mustard,98
5,Clay,6.3,Rainfed,Available,Kharif,High,Low Input,Cotton,Wheat,72,Millet,98
3,Clay,7.0,Borewell,Limited,Rabi,Low,Low Input,Maize,Millet,78,Mustard,98
10,Sandy,5.9,Canal,Available,Rabi,Medium,Fertilizer Usage,Groundnut,Wheat,70,Sunflower,98
9,Clay,6.4,Canal,Available,Kharif,High,Fertilizer Usage,Groundnut,Groundnut,81,Cotton,98
2,Clay,6.1,Borewell,Available,Kharif,Low,Fertilizer Usage,Cotton,Millet,82,Cotton,98
7,Clay,5.5,Borewell,Limited,Rabi,Medium,Fertilizer Usage,Millet,Wheat,61,Mustard,98
5,Sandy,5.5,Rainfed,Available,Kharif,Medium,Low Input,Rice,Cotton,71,Millet,98
6,Loamy,7.5,Canal,Available,Rabi,Low,Fertilizer Usage,Maize,Wheat,54,Sunflower,98
10,Sandy,7.2,Rainfed,Available,Summer,Medium,Low Input,Groundnut,Wheat,53,Green Gram (Moong),98
9,Sandy,7.2,Rainfed,Limited,Summer,Medium,Fertilizer Usage,Groundnut,Millet,67,Sunflower,98
6,Sandy,6.2,Rainfed,Limited,Rabi,Low,Fertilizer Usage,Maize,Rice,90,Millet,98
3,Loamy,6.7,Rainfed,Available,Rabi,Low,High Input,Maize,Cotton,74,Sunflower,98
2,Loamy,6.1,Rainfed,Available,Rabi,Medium,Fertilizer Usage,Cotton,Maize,81,Mustard,98
8,Loamy,6.7,Canal,Available,Rabi,High,Low Input,Rice,Groundnut,84,Mustard,98
9,Sandy,5.8,Rainfed,Limited,Kharif,Low,Low Input,Rice,Groundnut,62,Millet,98
9,Loamy,7.0,Borewell,Available,Kharif,Low,Fertilizer Usage,Cotton,Cotton,83,Groundnut,98
9,Sandy,6.4,Canal,Available,Kharif,Medium,Low Input,Millet,Cotton,85,Millet,98
5,Sandy,5.6,Rainfed,Available,Rabi,Low,Low Input,Groundnut,Cotton,59,Millet,98
7,Clay,5.9,Rainfed,Available,Rabi,Low,High Input,Wheat,Cotton,70,Mustard,98
7,Clay,6.3,Borewell,Available,Summer,Low,Low Input,Maize,Groundnut,85,Sunflower,97
8,Loamy,6.1,Borewell,Available,Rabi,Medium,Low Input,Millet,Cotton,94,Mustard,98
9,Loamy,6.0,Borewell,Available,Summer,High,High Input,Groundnut,Wheat,80,Sunflower,98
1,Loamy,7.1,Canal,Available,Summer,Low,High Input,Groundnut,Wheat,71,Sunflower,98
5,Sandy,6.8,Borewell,Limited,Kharif,Low,Fertilizer Usage,Millet,Maize,81,Millet,98
10,Clay,6.9,Rainfed,Limited,Summer,Low,Low Input,Groundnut,Groundnut,88,Green Gram (Moong),95
5,Loamy,7.1,Rainfed,Limited,Rabi,High,Fertilizer Usage,Cotton,Wheat,67,Mustard,98
7,Clay,6.4,Canal,Limited,Kharif,Low,Low Input,Millet,Rice,86,Basmati Rice,98
1,Sandy,6.5,Rainfed,Available,Kharif,High,Fertilizer Usage,Maize,Groundnut,88,Groundnut,98
8,Clay,6.4,Borewell,Available,Summer,Low,Low Input,Groundnut,Rice,83,Green Gram (Moong),98
6,Sandy,6.2,Canal,Limited,Summer,Medium,Low Input,Wheat,Maize,86,Green Gram (Moong),98
7,Clay,6.0,Canal,Limited,Summer,Medium,Fertilizer Usage,Maize,Wheat,75,Sunflower,98
8,Loamy,6.6,Rainfed,Limited,Kharif,Medium,Fertilizer Usage,Wheat,Wheat,85,Cotton,98
9,Clay,6.5,Canal,Limited,Rabi,High,Fertilizer Usage,Cotton,Maize,78,Mustard,98
8,Sandy,7.1,Canal,Available,Rabi,Medium,Low Input,Wheat,Cotton,56,Millet,98
10,Clay,6.4,Canal,Limited,Kharif,Low,Low Input,Cotton,Wheat,82,Millet,98
10,Clay,6.3,Canal,Available,Summer,Low,Low Input,Rice,Groundnut,91,Sunflower,98
10,Loamy,7.5,Rainfed,Limited,Rabi,Medium,High Input,Groundnut,Wheat,65,Mustard,98
9,Sandy,7.2,Borewell,Available,Kharif,Low,High Input,Maize,Rice,70,Groundnut,98
9,Clay,6.3,Rainfed,Available,Kharif,Low,High Input,Maize,Millet,81,Cotton,98
8,Loamy,6.9,Rainfed,Available,Summer,High,High Input,Wheat,Millet,82,Green Gram (Moong),98
1,Loamy,6.4,Rainfed,Limited,Kharif,Medium,Low Input,Wheat,Groundnut,85,Millet,98
9,Loamy,6.0,Borewell,Limited,Kharif,High,High Input,Millet,Rice,94,Cotton,98
10,Clay,6.7,Rainfed,Available,Rabi,High,Fertilizer Usage,Wheat,Maize,86,Sunflower,97
10,Loamy,5.8,Borewell,Limited,Summer,High,High Input,Maize,Wheat,74,Sunflower,98
8,Sandy,7.4,Rainfed,Limited,Rabi,High,High Input,Cotton,Cotton,53,Sunflower,98
5,Loamy,5.9,Rainfed,Available,Summer,Medium,Low Input,Wheat,Wheat,71,Green Gram (Moong),98
10,Clay,7.0,Canal,Limited,Summer,Medium,Fertilizer Usage,Wheat,Rice,82,Sunflower,98
9,Clay,5.6,Canal,Available,Summer,Medium,Low Input,Groundnut,Wheat,68,Green Gram (Moong),95
7,Loamy,5.7,Canal,Limited,Kharif,Low,High Input,Cotton,Millet,56,Cotton,98
6,Sandy,6.5,Rainfed,Available,Summer,Medium,High Input,Maize,Maize,85,Sunflower,98
7,Clay,7.0,Borewell,Limited,Summer,High,Low Input,Millet,Cotton,82,Green Gram (Moong),96
9,Clay,7.1,Rainfed,Available,Summer,High,High Input,Maize,Maize,62,Cotton,98
3,Clay,6.7,Rainfed,Available,Summer,Low,Fertilizer Usage,Wheat,Millet,90,Green Gram (Moong),98
1,Loamy,6.8,Borewell,Available,Kharif,Medium,Low Input,Rice,Maize,81,Groundnut,98
2,Clay,5.9,Rainfed,Available,Summer,Low,Fertilizer Usage,Groundnut,Cotton,56,Sunflower,97
6,Clay,6.1,Borewell,Available,Kharif,High,High Input,Millet,Maize,82,Cotton,98
1,Sandy,7.4,Borewell,Limited,Kharif,Low,Fertilizer Usage,Rice,Rice,62,Groundnut,98
8,Sandy,6.3,Canal,Limited,Kharif,Medium,Low Input,Maize,Maize,88,Millet,98
1,Loamy,7.0,Borewell,Limited,Summer,Medium,Fertilizer Usage,Rice,Maize,85,Green Gram (Moong),98
1,Clay,6.3,Rainfed,Available,Summer,Low,High Input,Cotton,Rice,90,Sunflower,98
1,Clay,6.3,Rainfed,Available,Summer,High,Low Input,Wheat,Maize,87,Green Gram (Moong),98
5,Loamy,7.3,Canal,Limited,Summer,High,High Input,Cotton,Maize,59,Green Gram (Moong),98
3,Clay,6.1,Canal,Available,Kharif,High,Low Input,Wheat,Wheat,91,Basmati Rice,98
7,Loamy,6.1,Rainfed,Limited,Kharif,Medium,Low Input,Millet,Millet,77,Green Gram (Moong),98
1,Sandy,7.0,Canal,Available,Kharif,High,Fertilizer Usage,Maize,Maize,83,Groundnut,98
9,Clay,5.7,Canal,Limited,Kharif,High,High Input,Cotton,Rice,60,Cotton,98
2,Loamy,6.4,Rainfed,Available,Summer,High,Fertilizer Usage,Millet,Cotton,83,Sunflower,98
4,Loamy,7.1,Rainfed,Available,Kharif,Medium,Low Input,Millet,Wheat,69,Green Gram (Moong),98
5,Loamy,7.1,Rainfed,Limited,Summer,High,Low Input,Groundnut,Wheat,62,Green Gram (Moong),98
10,Loamy,7.3,Canal,Limited,Rabi,Medium,High Input,Millet,Rice,58,Mustard,98
3,Sandy,5.6,Borewell,Limited,Summer,Low,Low Input,Groundnut,Cotton,60,Millet,97
5,Sandy,6.8,Rainfed,Available,Kharif,Medium,Low Input,Maize,Millet,83,Millet,98
7,Sandy,6.9,Borewell,Available,Kharif,Medium,Fertilizer Usage,Wheat,Groundnut,92,Groundnut,98
6,Clay,6.8,Borewell,Limited,Rabi,High,High Input,Groundnut,Wheat,86,Mustard,98
3,Clay,6.1,Canal,Limited,Rabi,Low,High Input,Cotton,Rice,98,Mustard,98
1,Sandy,6.0,Canal,Limited,Kharif,Medium,Low Input,Cotton,Wheat,85,Millet,98
3,Clay,6.5,Canal,Limited,Rabi,High,Low Input,Rice,Wheat,80,Mustard,98
5,Clay,5.6,Borewell,Available,Summer,High,Low Input,Maize,Millet,70,Sunflower,98
4,Sandy,7.0,Canal,Available,Summer,High,Low Input,Cotton,Maize,80,Sunflower,98
2,Loamy,6.0,Canal,Limited,Rabi,High,Low Input,Rice,Groundnut,75,Mustard,98
5,Clay,5.6,Borewell,Available,Rabi,High,Fertilizer Usage,Rice,Wheat,74,Mustard,98
5,Sandy,5.9,Canal,Limited,Kharif,Medium,Low Input,Cotton,Millet,65,Millet,98
3,Loamy,6.6,Canal,Available,Rabi,Low,Low Input,Wheat,Millet,76,Mustard,98
7,Clay,6.8,Borewell,Limited,Kharif,Medium,High Input,Millet,Wheat,96,Basmati Rice,98
6,Loamy,5.7,Canal,Available,Rabi,High,Low Input,Rice,Cotton,63,Sunflower,98
8,Loamy,7.0,Canal,Limited,Kharif,Medium,Low Input,Rice,Maize,87,Cotton,98
1,Loamy,7.2,Borewell,Limited,Kharif,Medium,Low Input,Maize,Groundnut,70,Millet,98
8,Loamy,7.3,Canal,Available,Kharif,High,Fertilizer Usage,Groundnut,Wheat,64,Basmati Rice,98
4,Sandy,7.2,Rainfed,Available,Summer,Low,High Input,Rice,Wheat,56,Sunflower,98
8,Sandy,6.5,Borewell,Limited,Kharif,Medium,Fertilizer Usage,Rice,Rice,84,Green Gram (Moong),98
10,Clay,6.2,Borewell,Limited,Rabi,Low,Fertilizer Usage,Rice,Maize,86,Mustard,98
8,Sandy,7.4,Borewell,Limited,Kharif,Low,Fertilizer Usage,Millet,Cotton,56,Millet,98
9,Clay,5.6,Borewell,Available,Kharif,High,Low Input,Maize,Millet,68,Basmati Rice,98
4,Loamy,6.1,Borewell,Limited,Rabi,High,Fertilizer Usage,Maize,Maize,87,Mustard,98
6,Sandy,6.9,Borewell,Available,Kharif,Low,Fertilizer Usage,Groundnut,Millet,87,Groundnut,98
2,Loamy,7.5,Rainfed,Limited,Summer,Medium,Low Input,Groundnut,Millet,67,Green Gram (Moong),98
4,Clay,7.2,Rainfed,Available,Rabi,High,High Input,Cotton,Millet,61,Mustard,98
10,Clay,7.2,Canal,Limited,Summer,Low,Fertilizer Usage,Groundnut,Cotton,68,Green Gram (Moong),98
3,Loamy,6.2,Borewell,Limited,Rabi,High,Low Input,Rice,Millet,76,Mustard,98
6,Sandy,7.4,Borewell,Limited,Summer,High,Low Input,Millet,Cotton,61,Green Gram (Moong),98
7,Clay,6.3,Canal,Limited,Summer,High,High Input,Maize,Groundnut,95,Green Gram (Moong),98
3,Clay,6.7,Rainfed,Available,Summer,Low,Low Input,Groundnut,Wheat,80,Green Gram (Moong),98
9,Loamy,7.0,Canal,Available,Summer,Medium,Low Input,Millet,Rice,91,Green Gram (Moong),98
3,Clay,7.0,Canal,Available,Summer,Low,Fertilizer Usage,Groundnut,Groundnut,87,Sunflower,98
8,Clay,7.5,Rainfed,Limited,Rabi,High,High Input,Wheat,Maize,59,Mustard,98
2,Clay,6.8,Canal,Available,Rabi,Medium,High Input,Wheat,Maize,96,Basmati Rice,98
7,Loamy,6.8,Rainfed,Limited,Summer,High,High Input,Cotton,Cotton,77,Green Gram (Moong),98
8,Loamy,6.4,Rainfed,Available,Kharif,Low,Low Input,Wheat,Millet,83,Green Gram (Moong),98
6,Sandy,5.7,Borewell,Available,Rabi,Medium,Low Input,Rice,Rice,65,Sunflower,98
6,Sandy,6.5,Borewell,Available,Kharif,Medium,Low Input,Groundnut,Millet,82,Groundnut,98
1,Loamy,7.4,Rainfed,Limited,Kharif,High,High Input,Millet,Cotton,64,Millet,98
1,Loamy,5.6,Canal,Limited,Kharif,High,High Input,Rice,Wheat,63,Basmati Rice,98
7,Clay,5.8,Canal,Limited,Summer,High,Low Input,Millet,Rice,73,Sunflower,98
1,Sandy,5.8,Rainfed,Available,Summer,Low,Fertilizer Usage,Maize,Millet,68,Groundnut,98
8,Sandy,5.9,Borewell,Limited,Kharif,Medium,High Input,Groundnut,Cotton,66,Basmati Rice,98
6,Clay,6.8,Borewell,Available,Summer,High,Low Input,Millet,Cotton,90,Groundnut,97
1,Sandy,6.4,Canal,Limited,Rabi,Low,Low Input,Groundnut,Millet,88,Sunflower,98
10,Loamy,6.2,Canal,Available,Kharif,Medium,Low Input,Maize,Millet,80,Groundnut,98
4,Sandy,7.0,Rainfed,Available,Kharif,High,High Input,Maize,Cotton,78,Cotton,98
9,Clay,5.9,Canal,Limited,Summer,Medium,Low Input,Cotton,Rice,65,Sunflower,98
1,Loamy,7.2,Canal,Limited,Rabi,Low,Low Input,Groundnut,Millet,66,Mustard,98
10,Sandy,6.1,Canal,Available,Summer,High,Fertilizer Usage,Wheat,Groundnut,86,Groundnut,98
2,Clay,6.0,Rainfed,Limited,Summer,Low,Fertilizer Usage,Rice,Maize,73,Sunflower,97
7,Loamy,6.8,Canal,Available,Kharif,High,Low Input,Groundnut,Maize,81,Green Gram (Moong),98
4,Loamy,6.3,Rainfed,Available,Summer,Medium,Low Input,Cotton,Rice,89,Green Gram (Moong),98
2,Loamy,6.2,Canal,Available,Kharif,Medium,High Input,Millet,Groundnut,84,Cotton,98
10,Clay,6.1,Canal,Available,Summer,Medium,Fertilizer Usage,Maize,Rice,87,Sunflower,98
9,Loamy,7.5,Borewell,Available,Kharif,Medium,Low Input,Rice,Rice,59,Sunflower,98
8,Clay,6.2,Canal,Limited,Kharif,High,Fertilizer Usage,Rice,Maize,92,Basmati Rice,98
6,Clay,6.3,Borewell,Limited,Kharif,Medium,Fertilizer Usage,Groundnut,Maize,91,Cotton,98
10,Clay,7.1,Rainfed,Limited,Rabi,Low,Low Input,Rice,Maize,63,Mustard,98
6,Loamy,7.3,Borewell,Available,Kharif,High,Fertilizer Usage,Rice,Groundnut,64,Cotton,98
8,Loamy,6.2,Canal,Available,Summer,Low,High Input,Wheat,Wheat,85,Sunflower,98
5,Clay,7.3,Canal,Available,Summer,Medium,High Input,Millet,Maize,65,Sunflower,98
5,Clay,7.4,Canal,Available,Rabi,Medium,Low Input,Wheat,Wheat,58,Mustard,98
2,Clay,6.0,Rainfed,Limited,Summer,Low,Fertilizer Usage,Wheat,Groundnut,84,Sunflower,97
1,Loamy,7.3,Rainfed,Limited,Summer,High,Low Input,Millet,Groundnut,72,Green Gram (Moong),98
6,Clay,5.9,Rainfed,Available,Kharif,Medium,High Input,Groundnut,Maize,66,Cotton,98
2,Loamy,6.2,Canal,Limited,Rabi,High,Fertilizer Usage,Groundnut,Wheat,81,Mustard,98
6,Sandy,6.7,Borewell,Limited,Kharif,High,Fertilizer Usage,Rice,Cotton,76,Groundnut,98
5,Loamy,7.3,Borewell,Limited,Summer,High,Low Input,Wheat,Millet,65,Green Gram (Moong),98
7,Sandy,7.0,Borewell,Limited,Kharif,High,High Input,Wheat,Rice,79,Groundnut,98
2,Clay,7.2,Rainfed,Available,Summer,Low,Fertilizer Usage,Cotton,Groundnut,67,Green Gram (Moong),98
10,Sandy,5.6,Rainfed,Limited,Kharif,High,Fertilizer Usage,Maize,Millet,54,Groundnut,98
6,Loamy,5.7,Rainfed,Available,Summer,Low,Low Input,Cotton,Cotton,62,Green Gram (Moong),98
10,Loamy,7.3,Rainfed,Available,Rabi,Low,High Input,Maize,Groundnut,62,Millet,98
3,Sandy,7.1,Canal,Limited,Kharif,High,Low Input,Cotton,Cotton,69,Millet,98
5,Sandy,6.0,Borewell,Available,Summer,High,Low Input,Millet,Cotton,82,Sunflower,98
4,Loamy,5.5,Rainfed,Limited,Kharif,Low,Low Input,Maize,Rice,69,Millet,97
5,Loamy,6.9,Canal,Limited,Summer,Low,Low Input,Groundnut,Rice,81,Sunflower,98
6,Clay,6.1,Canal,Available,Rabi,Low,Fertilizer Usage,Wheat,Rice,82,Basmati Rice,98
6,Loamy,5.9,Canal,Limited,Rabi,High,Fertilizer Usage,Groundnut,Rice,63,Mustard,98
5,Sandy,7.4,Canal,Available,Rabi,Medium,Fertilizer Usage,Groundnut,Maize,73,Mustard,98
6,Sandy,6.9,Rainfed,Available,Summer,High,Fertilizer Usage,Millet,Groundnut,89,Groundnut,98
3,Sandy,7.1,Borewell,Limited,Rabi,High,Low Input,Maize,Maize,67,Mustard,98
10,Clay,6.7,Borewell,Limited,Rabi,High,Fertilizer Usage,Maize,Millet,90,Mustard,98
6,Sandy,6.1,Borewell,Limited,Summer,Medium,Fertilizer Usage,Rice,Cotton,82,Green Gram (Moong),98
8,Clay,6.3,Borewell,Limited,Rabi,High,Fertilizer Usage,Wheat,Rice,70,Mustard,98
9,Loamy,6.7,Borewell,Limited,Summer,Low,Fertilizer Usage,Millet,Rice,91,Sunflower,98
1,Clay,7.0,Borewell,Limited,Rabi,Medium,Low Input,Groundnut,Wheat,82,Mustard,98
3,Sandy,5.6,Canal,Available,Rabi,High,Fertilizer Usage,Millet,Millet,51,Sunflower,98
4,Sandy,6.6,Canal,Available,Rabi,Medium,Fertilizer Usage,Cotton,Cotton,84,Sunflower,98
5,Clay,7.1,Borewell,Available,Summer,Medium,Fertilizer Usage,Wheat,Groundnut,73,Sunflower,98
3,Loamy,6.0,Canal,Available,Rabi,Low,Low Input,Groundnut,Groundnut,72,Sunflower,98
1,Clay,7.4,Canal,Limited,Summer,Medium,High Input,Rice,Maize,58,Sunflower,98
7,Sandy,7.3,Rainfed,Available,Summer,Low,High Input,Cotton,Millet,64,Green Gram (Moong),98
10,Sandy,6.4,Canal,Available,Summer,Low,High Input,Millet,Maize,90,Sunflower,98
3,Loamy,5.6,Borewell,Available,Rabi,Medium,Low Input,Millet,Wheat,61,Mustard,98
7,Loamy,7.0,Borewell,Limited,Rabi,Medium,High Input,Groundnut,Cotton,94,Mustard,98
10,Sandy,5.7,Borewell,Limited,Rabi,High,Low Input,Groundnut,Cotton,69,Millet,98
8,Clay,6.2,Rainfed,Limited,Summer,Low,High Input,Groundnut,Cotton,81,Sunflower,93
4,Loamy,7.2,Canal,Available,Rabi,High,Fertilizer Usage,Groundnut,Wheat,66,Mustard,98
1,Clay,5.9,Borewell,Available,Summer,High,High Input,Cotton,Cotton,61,Sunflower,98
1,Clay,7.3,Borewell,Limited,Summer,Low,High Input,Rice,Cotton,55,Green Gram (Moong),97
6,Loamy,7.0,Canal,Available,Rabi,High,High Input,Cotton,Groundnut,88,Sunflower,98
2,Sandy,6.0,Canal,Available,Kharif,High,High Input,Maize,Wheat,82,Millet,98
2,Sandy,6.4,Borewell,Available,Summer,High,Fertilizer Usage,Maize,Groundnut,91,Sunflower,98
7,Loamy,6.2,Borewell,Available,Rabi,Low,High Input,Maize,Rice,86,Sunflower,98
10,Clay,6.8,Borewell,Limited,Summer,High,Low Input,Cotton,Maize,81,Mustard,98
1,Clay,7.0,Borewell,Limited,Rabi,High,High Input,Cotton,Wheat,88,Mustard,98
2,Clay,6.3,Borewell,Available,Summer,High,Fertilizer Usage,Millet,Cotton,88,Sunflower,98
9,Clay,7.4,Rainfed,Limited,Kharif,High,High Input,Rice,Rice,62,Cotton,98
2,Clay,6.2,Borewell,Available,Rabi,Medium,Fertilizer Usage,Millet,Groundnut,78,Sunflower,98
9,Loamy,6.9,Rainfed,Available,Kharif,Low,Low Input,Maize,Cotton,92,Green Gram (Moong),98
4,Sandy,7.3,Canal,Available,Kharif,Medium,High Input,Rice,Wheat,60,Millet,98
7,Sandy,6.6,Borewell,Limited,Rabi,High,High Input,Groundnut,Millet,78,Millet,98
9,Clay,5.5,Borewell,Limited,Kharif,Low,Fertilizer Usage,Maize,Cotton,55,Basmati Rice,98
1,Sandy,6.2,Borewell,Limited,Rabi,Medium,Fertilizer Usage,Millet,Rice,94,Millet,98
8,Loamy,7.3,Canal,Available,Summer,High,High Input,Millet,Groundnut,66,Sunflower,98
5,Clay,7.2,Borewell,Available,Summer,Low,Low Input,Rice,Maize,58,Green Gram (Moong),97
5,Loamy,6.7,Borewell,Limited,Kharif,High,Fertilizer Usage,Rice,Groundnut,84,Basmati Rice,98
5,Sandy,6.5,Borewell,Limited,Rabi,High,High Input,Groundnut,Maize,88,Sunflower,98
3,Loamy,6.5,Borewell,Available,Summer,High,Low Input,Wheat,Rice,86,Green Gram (Moong),98
6,Sandy,5.7,Canal,Limited,Rabi,Low,Fertilizer Usage,Cotton,Maize,60,Sunflower,98
7,Clay,7.0,Rainfed,Limited,Rabi,Low,High Input,Maize,Millet,82,Mustard,97
7,Sandy,6.7,Canal,Available,Summer,Low,Low Input,Rice,Maize,84,Groundnut,98
7,Loamy,7.5,Canal,Limited,Summer,Low,Fertilizer Usage,Cotton,Cotton,71,Sunflower,98
8,Clay,7.2,Canal,Available,Kharif,Low,Fertilizer Usage,Wheat,Groundnut,61,Basmati Rice,98
2,Loamy,6.3,Canal,Available,Kharif,High,Fertilizer Usage,Cotton,Millet,89,Cotton,98
9,Loamy,7.1,Rainfed,Available,Rabi,Low,Low Input,Wheat,Wheat,63,Mustard,98
5,Loamy,7.0,Canal,Available,Summer,Low,Low Input,Cotton,Millet,82,Sunflower,98
8,Loamy,5.7,Borewell,Limited,Rabi,High,Low Input,Rice,Rice,60,Sunflower,98
5,Sandy,6.1,Canal,Limited,Summer,Low,Fertilizer Usage,Cotton,Wheat,90,Groundnut,98
10,Sandy,6.0,Canal,Available,Rabi,Low,Fertilizer Usage,Rice,Millet,83,Millet,98
1,Loamy,6.8,Rainfed,Limited,Kharif,Medium,High Input,Rice,Cotton,80,Green Gram (Moong),98
2,Sandy,7.3,Canal,Available,Kharif,Low,Fertilizer Usage,Cotton,Millet,69,Groundnut,98
6,Sandy,6.5,Rainfed,Available,Kharif,Low,High Input,Millet,Cotton,81,Groundnut,98
5,Loamy,6.0,Canal,Limited,Rabi,Low,High Input,Groundnut,Millet,92,Mustard,98
1,Clay,7.5,Canal,Limited,Kharif,High,Fertilizer Usage,Groundnut,Maize,69,Basmati Rice,98
7,Sandy,7.3,Rainfed,Limited,Kharif,Low,Low Input,Groundnut,Groundnut,65,Millet,98
10,Sandy,5.6,Canal,Limited,Summer,Low,Low Input,Maize,Groundnut,61,Green Gram (Moong),98
4,Loamy,7.3,Rainfed,Limited,Summer,Medium,High Input,Cotton,Wheat,67,Sunflower,98
3,Sandy,6.3,Canal,Available,Kharif,High,High Input,Millet,Wheat,82,Groundnut,98
10,Clay,7.1,Canal,Available,Rabi,Low,Low Input,Rice,Groundnut,70,Mustard,98
7,Sandy,7.1,Canal,Available,Kharif,High,Low Input,Wheat,Maize,60,Millet,98
4,Clay,7.0,Rainfed,Available,Summer,Low,Low Input,Millet,Rice,91,Green Gram (Moong),94
8,Sandy,6.6,Borewell,Available,Rabi,Medium,High Input,Cotton,Cotton,87,Sunflower,98
10,Clay,7.0,Canal,Limited,Kharif,Low,High Input,Millet,Maize,79,Cotton,98
1,Clay,7.1,Rainfed,Available,Summer,High,High Input,Cotton,Maize,68,Sunflower,97
9,Sandy,6.7,Borewell,Available,Summer,Medium,Fertilizer Usage,Millet,Maize,81,Sunflower,98
2,Loamy,6.1,Rainfed,Available,Summer,Medium,Fertilizer Usage,Rice,Cotton,84,Green Gram (Moong),98
7,Clay,6.7,Canal,Available,Kharif,Low,High Input,Groundnut,Maize,86,Basmati Rice,98
8,Clay,6.8,Rainfed,Limited,Kharif,High,Fertilizer Usage,Maize,Cotton,75,Cotton,98
10,Clay,5.7,Canal,Limited,Rabi,Medium,High Input,Wheat,Maize,75,Mustard,98
4,Loamy,6.4,Borewell,Limited,Summer,High,Low Input,Groundnut,Rice,89,Green Gram (Moong),98
2,Loamy,5.8,Borewell,Limited,Summer,Low,Low Input,Millet,Wheat,61,Mustard,97
8,Loamy,5.8,Canal,Limited,Summer,High,Low Input,Groundnut,Cotton,61,Green Gram (Moong),98
1,Clay,7.0,Borewell,Limited,Summer,Medium,High Input,Maize,Millet,90,Sunflower,98
6,Clay,5.5,Borewell,Available,Summer,Medium,High Input,Cotton,Cotton,54,Cotton,96
2,Loamy,7.2,Rainfed,Available,Rabi,Low,Low Input,Maize,Rice,62,Millet,98
5,Sandy,6.9,Rainfed,Limited,Rabi,High,Fertilizer Usage,Maize,Groundnut,80,Sunflower,98
7,Loamy,7.5,Rainfed,Available,Kharif,Low,Low Input,Wheat,Groundnut,57,Millet,98
4,Clay,5.6,Borewell,Limited,Rabi,Medium,Low Input,Maize,Wheat,78,Mustard,98
10,Loamy,6.6,Rainfed,Available,Summer,Low,High Input,Maize,Millet,85,Green Gram (Moong),98
7,Loamy,7.2,Canal,Limited,Summer,Medium,High Input,Millet,Wheat,63,Green Gram (Moong),98
10,Loamy,7.4,Borewell,Limited,Rabi,Low,High Input,Cotton,Cotton,75,Mustard,98
5,Sandy,7.2,Canal,Available,Kharif,High,Low Input,Cotton,Cotton,62,Millet,98
2,Loamy,6.0,Borewell,Available,Summer,Low,Fertilizer Usage,Cotton,Cotton,85,Sunflower,98
3,Clay,7.0,Rainfed,Available,Summer,Low,Low Input,Rice,Groundnut,84,Green Gram (Moong),97
2,Loamy,6.8,Rainfed,Available,Rabi,High,Low Input,Maize,Millet,87,Mustard,98
9,Loamy,6.3,Canal,Limited,Kharif,Low,Low Input,Wheat,Millet,79,Groundnut,98
10,Sandy,6.3,Rainfed,Available,Rabi,High,Low Input,Maize,Groundnut,82,Millet,98
10,Clay,6.2,Borewell,Available,Rabi,Medium,Fertilizer Usage,Maize,Cotton,83,Mustard,98
4,Sandy,6.9,Rainfed,Available,Kharif,Medium,Fertilizer Usage,Millet,Millet,84,Groundnut,98
3,Sandy,5.9,Borewell,Available,Rabi,Medium,Low Input,Millet,Millet,58,Millet,98
2,Sandy,7.4,Canal,Limited,Kharif,High,Fertilizer Usage,Rice,Wheat,69,Groundnut,98
9,Sandy,6.0,Borewell,Limited,Summer,Medium,Low Input,Groundnut,Wheat,92,Millet,98
5,Loamy,7.0,Rainfed,Limited,Kharif,Low,Fertilizer Usage,Maize,Rice,81,Green Gram (Moong),98
2,Loamy,5.8,Rainfed,Limited,Summer,Low,High Input,Millet,Wheat,67,Green Gram (Moong),98
8,Sandy,6.4,Borewell,Available,Summer,Medium,Fertilizer Usage,Maize,Rice,80,Sunflower,98
9,Sandy,7.2,Canal,Limited,Summer,Low,Low Input,Cotton,Cotton,71,Green Gram (Moong),98
2,Loamy,5.6,Rainfed,Available,Rabi,Medium,Low Input,Maize,Wheat,67,Mustard,98
7,Loamy,7.1,Canal,Available,Rabi,Low,High Input,Cotton,Rice,62,Sunflower,98
2,Clay,6.5,Rainfed,Available,Summer,Medium,High Input,Groundnut,Groundnut,79,Green Gram (Moong),97
2,Sandy,7.0,Borewell,Limited,Rabi,Low,High Input,Maize,Cotton,84,Mustard,98
6,Clay,7.2,Canal,Limited,Kharif,High,Low Input,Maize,Cotton,60,Basmati Rice,98
9,Clay,6.2,Borewell,Limited,Kharif,Medium,High Input,Wheat,Groundnut,80,Basmati Rice,98
